Latvia	Riga
Senegal	Dakar
Netherlands	Amsterdam
Vietnam	Hanoi
Bangladesh	Dhaka
Cameroon	Yaounde
Spain	Madrid
Algeria	Algiers
Syria	Damascus
Reunion	France
Somalia	Mogadishu
Fiji	Suva
Ukraine	Kiev
Australia	Canberra
Nicaragua	Managua
Uganda	Kampala
Sweden	Stockholm
Bahamas	Nassau
Mauritania	Nouakchott
Armenia	Yerevan
Djibouti	Djibouti
Togo	Lome
Norway	Oslo
Malta	Valletta
Palestine	Gaza
Georgia	Tbilisi
Brazil	Brasilia
Ghana	Accra
Congo	Brazzaville
Italy	Rome
Lebanon	Beirut
Taiwan	Taipei
Cyprus	Nicosia
Palestine	Ramallah
Montenegro	Podgorica
Burundi	Bujumbura
Nepal	Kathmandu
Qatar	Doha
Paraguay	Asuncion
Myanmar	Rangoon
Montserrat	Plymouth
Luxembourg	Luxembourg
Japan	Tokyo
Poland	Warsaw
Kenya	Nairobi
Peru	Lima
Greece	Athens
China	Beijing
Niger	Niamey
Macedonia	Skopje
Singapore	Singapore
Slovenia	Ljubljana
Germany	Berlin
Morocco	Rabat
Switzerland	Bern
Kosovo	Pristina
Benin	Cotonou
Uzbekistan	Tashkent
Madagascar	Antananarivo
Seychelles	Victoria
Portugal	Lisbon
Uruguay	Montevideo
Bermuda	Hamilton
Guinea	Conakry
Tajikistan	Dushanbe
Kazakhstan	Astana
Ireland	Dublin
Mali	Bamako
Albania	Tirana
Angola	Luanda
Mozambique	Maputo
Venezuela	Caracas
Pakistan	Islamabad
Ecuador	Quito
Honduras	Tegucigalpa
Moldova	Chisinau
Oman	Muscat
Serbia	Belgrade
Slovakia	Bratislava
Macau	Macau
Denmark	Copenhagen
Romania	Bucharest
Namibia	Windhoek
Guyana	Georgetown
Austria	Vienna
Turkey	Ankara
Russia	Moscow
Bulgaria	Sofia
Malawi	Lilongwe
Tanzania	Dodoma
Gambia	Banjul
Indonesia	Jakarta
Liberia	Monrovia
Jamaica	Kingston
Zambia	Lusaka
Azerbaijan	Baku
Afghanistan	Kabul
Nigeria	Abuja
Kyrgyzstan	Bishkek
Cuba	Havana
Tunisia	Tunis
Croatia	Zagreb
Sudan	Khartoum
Rwanda	Kigali
Chile	Santiago
Canada	Ottawa
Bahrain	Manama
Iceland	Reykjavik
Monaco	Monaco
Iraq	Baghdad
Estonia	Tallinn
Zimbabwe	Harare
France	Paris
Libya	Tripoli
Hungary	Budapest
Maldives	Male
Botswana	Gaborone
Egypt	Cairo
Laos	Vientiane
Philippines	Manila
Gibraltar	Gibraltar
Jordan	Amman
Colombia	Bogota
Thailand	Bangkok
Finland	Helsinki
Eritrea	Asmara
Gabon	Libreville
Iran	Tehran
Belgium	Brussels
Lithuania	Vilnius
Israel	Jerusalem
