priest	priestess
brothers	sisters
master	mistress
baron	baroness
Joseph	Josephine
Clarence	Clara
stallion	mare
Alexander	Alexandra
John	Joan
duke	duchess
host	hostess
grandfather	grandmother
buck	doe
boys	girls
king	queen
hero	heroine
fathers	mothers
prince	princess
Christian	Christina
emperor	empress
fiance	fiancee
tutor	governess
hound	brach
him	her
ram	ewe
boar	sow
earl	countess
actors	actresses
landlord	landlady
grandpa	grandma
male	female
wizard	witch
brother	sister
colt	filly
steer	heifer
bridegroom	bride
nephew	niece
Paul	Pauline
lion	lioness
Cecil	Cecilia
drake	duck
friar	nun
Mr	Mrs
uncle	aunt
cock	hen
Charles	Charlotte
policeman	policewoman
stepfather	stepmother
heir	heiress
grandson	granddaughter
headmaster	headmistress
George	Georgina
man	woman
stepson	stepdaughter
William	Wilhelmina
groom	bride
actor	actress
son	daughter
father	mother
Francis	Frances
widower	widow
he	she
dog	bitch
steward	stewardess
Patrick	Patricia
dad	mom
waiter	waitress
Oliver	Olive
count	countess
sir	madam
hart	hind
monk	nun
his	her
bachelor	spinster
Robert	Roberta
sire	dam
beau	belle
Henry	Henrietta
gander	goose
bull	cow
stag	hind
god	goddess
lord	lady
boy	girl
bullock	heifer
husband	wife
lad	lass
Victor	Victoria
gentleman	lady
sons	daughters
