sweet	sweeter
close	closer
mad	madder
mean	meaner
smart	smarter
slim	slimmer
young	younger
bright	brighter
well	better
angry	angrier
funny	funnier
quick	quicker
wide	wider
wealthy	wealthier
kind	kinder
bad	worse
pretty	prettier
poor	poorer
long	longer
short	shorter
quiet	quieter
new	newer
lively	livelier
good	better
weak	weaker
far	farther
sturdy	sturdier
fat	fatter
cool	cooler
straight	straighter
hard	harder
dry	drier
old	older
rich	richer
heavy	heavier
great	greater
lazy	lazier
early	earlier
high	higher
clean	cleaner
easy	easier
cheap	cheaper
thick	thicker
rough	rougher
loud	louder
lengthy	lengthier
slow	slower
clear	clearer
sexy	sexier
strange	stranger
cold	colder
fit	fitter
subtle	subtler
tight	tighter
smooth	smoother
gloomy	gloomier
warm	warmer
busy	busier
dim	dimmer
simple	simpler
hot	hotter
steep	steeper
shallow	shallower
rare	rarer
safe	safer
light	lighter
wet	wetter
friendly	friendlier
strict	stricter
calm	calmer
noisy	noisier
low	lower
fast	faster
dark	darker
rosy	rosier
large	larger
big	bigger
tough	tougher
stiff	stiffer
deep	deeper
strong	stronger
bold	bolder
messy	messier
mild	milder
happy	happier
flat	flatter
dull	duller
speedy	speedier
sharp	sharper
fancy	fancier
late	later
tall	taller
soft	softer
black	blacker
healthy	healthier
thin	thinner
small	smaller
