light	lightest
bold	boldest
proud	proudest
mean	meanest
cheap	cheapest
stiff	stiffest
close	closest
sharp	sharpest
dry	driest
smart	smartest
weak	weakest
wet	wettest
bad	worst
sexy	sexiest
quiet	quietest
good	best
funny	funniest
tough	toughest
high	highest
hard	hardest
slow	slowest
wide	widest
scary	scariest
long	longest
soft	softest
mild	mildest
rare	rarest
healthy	healthiest
likely	likeliest
old	oldest
well	best
rich	richest
holy	holiest
big	biggest
large	largest
clear	clearest
busy	busiest
quick	quickest
strong	strongest
heavy	heaviest
sad	saddest
easy	easiest
cold	coldest
late	latest
mighty	mightiest
fast	fastest
tricky	trickiest
warm	warmest
simple	simplest
strange	strangest
hot	hottest
loud	loudest
far	farthest
lively	liveliest
slim	slimmest
happy	happiest
few	fewest
small	smallest
sweet	sweetest
short	shortest
clean	cleanest
pretty	prettiest
tight	tightest
thin	thinnest
black	blackest
thick	thickest
poor	poorest
great	greatest
strict	strictest
cool	coolest
fit	fittest
brave	bravest
deep	deepest
slight	slightest
safe	safest
early	earliest
dear	dearest
young	youngest
steep	steepest
rough	roughest
bright	brightest
wealthy	wealthiest
low	lowest
dark	darkest
dirty	dirtiest
tall	tallest
ugly	ugliest
