bask	basking
spy	spying
vent	venting
regain	regaining
elbow	elbowing
instigate	instigating
worsen	worsening
demoralize	demoralizing
diverge	diverging
view	viewing
evoke	evoking
venture	venturing
leave	leaving
fluctuate	fluctuating
translate	translating
recall	recalling
replay	replaying
prove	proving
shorten	shortening
override	overriding
solidify	solidifying
kill	killing
flame	flaming
mastermind	masterminding
pose	posing
whale	whaling
worship	worshipping
typecast	typecasting
relax	relaxing
ratify	ratifying
juggle	juggling
note	noting
condition	conditioning
examine	examining
rove	roving
ferment	fermenting
liquidate	liquidating
inhabit	inhabiting
finger	fingering
sprawl	sprawling
plumb	plumbing
replace	replacing
exaggerate	exaggerating
tutor	tutoring
petition	petitioning
cop	coping
dazzle	dazzling
truck	trucking
augment	augmenting
tower	towering
erode	eroding
case	casing
dislike	disliking
bicycle	bicycling
flop	flopping
fly	flying
incriminate	incriminating
stunt	stunting
scatter	scattering
experience	experiencing
sabotage	sabotaging
attend	attending
approximate	approximating
revoke	revoking
acknowledge	acknowledging
detail	detailing
overheat	overheating
snort	snorting
expend	expending
submerge	submerging
isolate	isolating
number	numbering
claw	clawing
fell	felling
kick	kicking
condone	condoning
mutter	muttering
boycott	boycotting
liberalize	liberalizing
exit	exiting
happen	happening
pool	pooling
establish	establishing
hope	hoping
grow	growing
model	modeling
scorch	scorching
interpret	interpreting
leap	leaping
seem	seeming
loot	looting
report	reporting
bloom	blooming
drive	driving
fortify	fortifying
telephone	telephoning
betray	betraying
hoist	hoisting
reproduce	reproducing
parachute	parachuting
brief	briefing
dock	docking
lodge	lodging
eke	eking
rear	rearing
reconsider	reconsidering
retrieve	retrieving
star	staring
stuff	stuffing
grumble	grumbling
earn	earning
puff	puffing
nudge	nudging
present	presenting
phrase	phrasing
perfect	perfecting
temper	tempering
trust	trusting
snatch	snatching
suspend	suspending
toy	toying
box	boxing
shell	shelling
secure	securing
gobble	gobbling
chant	chanting
snipe	sniping
drag	dragging
sniff	sniffing
trick	tricking
whoop	whooping
fax	faxing
scrape	scraping
exercise	exercising
provoke	provoking
headline	headlining
dial	dialing
hum	humming
affirm	affirming
sterilize	sterilizing
expand	expanding
tail	tailing
fragment	fragmenting
intersect	intersecting
echo	echoing
bore	boring
book	booking
trap	trapping
utilize	utilizing
keep	keeping
animate	animating
compile	compiling
spawn	spawning
obliterate	obliterating
remember	remembering
stomp	stomping
dip	dipping
admire	admiring
lick	licking
describe	describing
zone	zoning
train	training
sit	sitting
meander	meandering
damage	damaging
overwhelm	overwhelming
cushion	cushioning
debut	debuting
sue	suing
arrest	arresting
team	teaming
conquer	conquering
expedite	expediting
level	leveling
crown	crowning
mingle	mingling
centralize	centralizing
freak	freaking
choreograph	choreographing
overdose	overdosing
update	updating
trim	trimming
warn	warning
prod	prodding
dissent	dissenting
sag	sagging
unwind	unwinding
rule	ruling
defraud	defrauding
order	ordering
subtract	subtracting
impair	impairing
overreact	overreacting
equal	equaling
travel	travelling
disappoint	disappointing
strangle	strangling
consist	consisting
diffuse	diffusing
route	routing
nest	nesting
provide	providing
last	lasting
infuse	infusing
recharge	recharging
stimulate	stimulating
obtain	obtaining
restrain	restraining
borrow	borrowing
dump	dumping
tarnish	tarnishing
confirm	confirming
discharge	discharging
adore	adoring
brush	brushing
eat	eating
deepen	deepening
install	installing
impede	impeding
shift	shifting
total	totaling
frame	framing
detain	detaining
use	using
arm	arming
undergo	undergoing
tape	taping
ingest	ingesting
recruit	recruiting
wield	wielding
ground	grounding
propagate	propagating
crawl	crawling
spring	springing
campaign	campaigning
defame	defaming
seize	seizing
extrapolate	extrapolating
mow	mowing
prohibit	prohibiting
dawn	dawning
ensure	ensuring
encompass	encompassing
bankroll	bankrolling
clock	clocking
curb	curbing
harvest	harvesting
brand	branding
signify	signifying
embrace	embracing
amend	amending
chip	chipping
explain	explaining
mutilate	mutilating
fume	fuming
rein	reining
pander	pandering
peak	peaking
confide	confiding
hook	hooking
pertain	pertaining
resurface	resurfacing
assault	assaulting
snake	snaking
fatten	fattening
frequent	frequenting
gallop	galloping
bargain	bargaining
brim	brimming
generate	generating
battle	battling
mediate	mediating
triple	tripling
filter	filtering
deflate	deflating
convict	convicting
release	releasing
pave	paving
emulate	emulating
muse	musing
promise	promising
graft	grafting
mix	mixing
reward	rewarding
depreciate	depreciating
feature	featuring
curtail	curtailing
communicate	communicating
commit	committing
forecast	forecasting
stagger	staggering
accrue	accruing
corroborate	corroborating
dredge	dredging
achieve	achieving
stiffen	stiffening
advertise	advertising
groan	groaning
seed	seeding
resume	resuming
nominate	nominating
reckon	reckoning
mutate	mutating
model	modelling
break	breaking
mistake	mistaking
rap	raping
overpower	overpowering
accommodate	accommodating
compliment	complimenting
merge	merging
stutter	stuttering
express	expressing
constitute	constituting
cooperate	cooperating
lob	lobbing
clot	clotting
tour	touring
eliminate	eliminating
transplant	transplanting
chase	chasing
lap	lapping
warm	warming
assemble	assembling
net	netting
slow	slowing
seep	seeping
glaze	glazing
plug	plugging
overlap	overlapping
quicken	quickening
launder	laundering
sport	sporting
settle	settling
celebrate	celebrating
babble	babbling
occupy	occupying
burn	burning
interfere	interfering
fake	faking
chair	chairing
bounce	bouncing
steady	steadying
comb	combing
adapt	adapting
halt	halting
neglect	neglecting
listen	listening
leach	leaching
tow	towing
overflow	overflowing
mother	mothering
skim	skimming
desire	desiring
nurture	nurturing
overfly	overflying
spell	spelling
resurrect	resurrecting
catalogue	cataloguing
veto	vetoing
engineer	engineering
implant	implanting
cause	causing
slot	slotting
monitor	monitoring
exceed	exceeding
will	willing
lobby	lobbying
round	rounding
defect	defecting
humiliate	humiliating
worry	worrying
consent	consenting
partition	partitioning
commute	commuting
boil	boiling
define	defining
contaminate	contaminating
unleash	unleashing
stipulate	stipulating
humble	humbling
part	parting
prime	priming
substitute	substituting
shun	shunning
couple	coupling
bomb	bombing
lessen	lessening
found	founding
cure	curing
indict	indicting
lumber	lumbering
convince	convincing
structure	structuring
sink	sinking
dust	dusting
salvage	salvaging
pan	panning
foment	fomenting
show	showing
hobble	hobbling
