Haiti	Haitian
Turkey	Turkish
Yugoslavia	Yugoslav
Slovakia	Slovak
Cameroon	Cameroonian
Iran	Iranian
Azerbaijan	Azerbaijani
Switzerland	Swiss
Morocco	Moroccan
Brazil	Brazilian
Zambia	Zambian
Ghana	Ghanaian
Venezuela	Venezuelan
Senegal	Senegalese
Laos	Laotian
Lebanon	Lebanese
Rwanda	Rwandan
Poland	Polish
Ireland	Irish
Malawi	Malawian
Congo	Congolese
Chile	Chilean
Germany	German
Canada	Canadian
Mexico	Mexican
Norway	Norwegian
Honduras	Honduran
Angola	Angolan
Bahrain	Bahraini
Ecuador	Ecuadorean
Cuba	Cuban
Fiji	Fijian
Croatia	Croatian
Gabon	Gabonese
Iceland	Icelandic
Australia	Australian
Thailand	Thai
India	Indian
Hungary	Hungarian
Portugal	Portuguese
Mauritania	Mauritanian
Madagascar	Malagasy
Iraq	Iraqi
Singapore	Singaporean
Armenia	Armenian
Gambia	Gambian
China	Chinese
Finland	Finnish
Qatar	Qatari
Scotland	Scottish
Egypt	Egyptian
Mongolia	Mongolian
Peru	Peruvian
Holland	Dutch
Nigeria	Nigerian
Spain	Spanish
Libya	Libyan
Albania	Albanian
Kenya	Kenyan
Afghanistan	Afghan
Pakistan	Pakistani
Kazakhstan	Kazakh
Uganda	Ugandan
Uzbekistan	Uzbek
Indonesia	Indonesian
Mali	Malian
Ethiopia	Ethiopian
Argentina	Argentinian
Colombia	Colombian
Latvia	Latvian
Romania	Romanian
Britain	British
Burundi	Burundian
Sweden	Swedish
Panama	Panamanian
Tunisia	Tunisian
Algeria	Algerian
Serbia	Serb
Ukraine	Ukrainian
Slovenia	Slovenian
Japan	Japanese
Cambodia	Cambodian
Somalia	Somali
England	English
Paraguay	Paraguayan
Jamaica	Jamaican
Slovakia	Slovakian
Zaire	Zairean
Liberia	Liberian
Zimbabwe	Zimbabwean
Chad	Chadian
Syria	Syrian
Wales	Welsh
Malta	Maltese
Nepal	Nepalese
Burma	Burmese
Bolivia	Bolivian
Belize	Belizean
Macedonia	Macedonian
Sudan	Sudanese
Denmark	Danish
Kuwait	Kuwaiti
Bulgaria	Bulgarian
Belgium	Belgian
Estonia	Estonian
Guinea	Guinean
Bahamas	Bahamian
Vietnam	Vietnamese
Tajikistan	Tajik
Dominica	Dominican
Tanzania	Tanzanian
Korea	Korean
Jordan	Jordanian
Russia	Russian
Greece	Greek
Georgia	Georgian
Netherlands	Dutch
Serbia	Serbian
Lithuania	Lithuanian
Slovenia	Slovene
Oman	Omani
Eritrea	Eritrean
Bangladesh	Bangladeshi
Austria	Austrian
Italy	Italian
Cyprus	Cypriot
Montenegro	Montenegrin
Mozambique	Mozambican
Guatemala	Guatemalan
Turkmenistan	Turkmen
Israel	Israeli
Taiwan	Taiwanese
Moldova	Moldovan
Yemen	Yemeni
Namibia	Namibian
Nicaragua	Nicaraguan
Uruguay	Uruguayan
France	French
Malaysia	Malaysian
