studying	studied
scrutinizing	scrutinized
deflecting	deflected
blurring	blurred
accelerating	accelerated
conversing	conversed
sighting	sighted
reopening	reopened
confessing	confessed
identifying	identified
circumventing	circumvented
stacking	stacked
averting	averted
conforming	conformed
fudging	fudged
reprocessing	reprocessed
equalling	equaled
blinking	blinked
gesturing	gestured
retiring	retired
justifying	justified
shopping	shopped
referring	referred
unnerving	unnerved
roaming	roamed
dousing	doused
signing	signed
baking	baked
impounding	impounded
equipping	equipped
alarming	alarmed
whispering	whispered
boasting	boasted
bucking	bucked
furthering	furthered
unseating	unseated
incorporating	incorporated
propelling	propelled
pertaining	pertained
glorifying	glorified
overlooking	overlooked
shouldering	shouldered
blocking	blocked
nursing	nursed
recounting	recounted
clothing	clad
veering	veered
echoing	echoed
flaring	flared
terming	termed
passing	passed
utilizing	utilized
accommodating	accommodated
accomplishing	accomplished
rocketing	rocketed
wishing	wished
entertaining	entertained
thwarting	thwarted
earning	earned
informing	informed
whipping	whipped
intending	intended
averaging	averaged
plunging	plunged
uncovering	uncovered
prohibiting	prohibited
flowering	flowered
leading	led
peeling	peeled
respecting	respected
withstanding	withstood
planning	planed
panicking	panicked
squeezing	squeezed
dampening	dampened
promoting	promoted
advising	advised
postponing	postponed
renewing	renewed
convincing	convinced
tiring	tired
wading	waded
constricting	constricted
featuring	featured
impressing	impressed
transferring	transferred
stipulating	stipulated
laundering	laundered
banking	banked
embedding	embedded
picketing	picketed
telephoning	telephoned
wetting	wet
rattling	rattled
dripping	dripped
underperforming	underperformed
assaulting	assaulted
reconsidering	reconsidered
correcting	corrected
discouraging	discouraged
sizing	sized
radiating	radiated
carving	carved
slaughtering	slaughtered
simplifying	simplified
importing	imported
muddling	muddled
equalizing	equalized
hashing	hashed
rampaging	rampaged
dumping	dumped
withdrawing	withdrew
tagging	tagged
latching	latched
residing	resided
disqualifying	disqualified
evening	evened
commissioning	commissioned
committing	committed
wooing	wooed
mining	mined
booing	booed
standardizing	standardized
exerting	exerted
refueling	refueled
drumming	drummed
alternating	alternated
digesting	digested
flattening	flattened
sampling	sampled
setting	set
scavenging	scavenged
stunning	stunned
expiring	expired
welding	welded
devoting	devoted
triggering	triggered
supporting	supported
intersecting	intersected
abusing	abused
trickling	trickled
investing	invested
grating	grated
reinvesting	reinvested
spanning	spanned
cocking	cocked
corroborating	corroborated
depressing	depressed
sharpening	sharpened
baiting	baited
drowning	drowned
poisoning	poisoned
marketing	marketed
dying	died
discounting	discounted
stomping	stomped
handling	handled
stowing	stowed
rearing	reared
composing	composed
overreacting	overreacted
visualizing	visualized
rendering	rendered
computing	computed
fading	faded
sounding	sounded
recovering	recovered
packing	packed
classifying	classified
tilting	tilted
raining	rained
humbling	humbled
dining	dined
excepting	excepted
scarring	scared
rifling	rifled
nourishing	nourished
recognizing	recognized
sprinting	sprinted
precluding	precluded
dusting	dusted
commenting	commented
failing	failed
deregulating	deregulated
shuffling	shuffled
leading	leaded
threading	threaded
fostering	fostered
schooling	schooled
planting	planted
attempting	attempted
disconnecting	disconnected
dueling	dueled
crossing	crossed
outfitting	outfitted
littering	littered
polluting	polluted
sitting	sited
hoisting	hoisted
tolling	tolled
exceeding	exceeded
streamlining	streamlined
busing	bused
overwhelming	overwhelmed
sickening	sickened
crowning	crowned
strapping	strapped
crafting	crafted
clinging	clung
forming	formed
documenting	documented
lowering	lowered
decorating	decorated
conquering	conquered
ratifying	ratified
dismantling	dismantled
illustrating	illustrated
grumbling	grumbled
profiting	profited
compiling	compiled
