essay	essays
patent	patents
lawmaker	lawmakers
wine	wines
camp	camps
pair	pairs
dwelling	dwellings
circle	circles
stray	strays
soviet	soviets
mythology	mythologies
raise	raises
beating	beatings
engineer	engineers
backer	backers
manual	manuals
over	overs
defect	defects
fatality	fatalities
jury	juries
grasshopper	grasshoppers
pic	pics
misery	miseries
pitcher	pitchers
hit	hits
mission	missions
kiwi	kiwis
muzzle	muzzles
sprint	sprints
tactic	tactics
diagnosis	diagnoses
yolk	yolks
captain	captains
fit	fits
seer	seers
theme	themes
depression	depressions
sediment	sediments
sort	sorts
script	scripts
launch	launches
lot	lots
onion	onions
coffin	coffins
winter	winters
sprout	sprouts
carb	carbs
dioxin	dioxins
location	locations
flirt	flirts
route	routes
transcript	transcripts
debtor	debtors
mobile	mobiles
hub	hubs
serving	servings
button	buttons
aisle	aisles
cup	cups
organizer	organizers
senior	seniors
warranty	warranties
shackle	shackles
courtyard	courtyards
fig	figs
phosphate	phosphates
kill	kills
cell	cells
rupture	ruptures
debutante	debutantes
beast	beasts
salesperson	salespeople
ulcer	ulcers
sin	sins
brush	brushes
larva	larvae
chromosome	chromosomes
tendon	tendons
luncheon	luncheons
sigh	sighs
peso	pesos
banner	banners
incursion	incursions
fabric	fabrics
cat	cats
puffin	puffins
jug	jugs
placard	placards
client	clients
novice	novices
hip	hips
victor	victors
shilling	shillings
bet	bets
caterpillar	caterpillars
rein	reins
python	pythons
psychopath	psychopaths
costume	costumes
democrat	democrats
hemisphere	hemispheres
middleman	middlemen
ensemble	ensembles
herald	heralds
sander	sanders
hawk	hawks
springbok	springboks
situation	situations
thoroughfare	thoroughfares
parenthesis	parentheses
setter	setters
guerrilla	guerrillas
key	keys
break	breaks
terminal	terminals
entry	entries
bellow	bellows
airstrip	airstrips
pilot	pilots
length	lengths
kiss	kisses
ladder	ladders
cutter	cutters
subdivision	subdivisions
reformer	reformers
sword	swords
user	users
duet	duets
child	children
axis	axes
trucker	truckers
lounge	lounges
minor	minors
