patent	patents
cocoon	cocoons
contradict	contradicts
infect	infects
wine	wines
associate	associates
organize	organizes
labor	labors
launch	launches
mar	mars
circle	circles
rocket	rockets
notify	notifies
disappear	disappears
degrade	degrades
snack	snacks
repair	repairs
age	ages
encompass	encompasses
decorate	decorates
wound	wounds
reel	reels
pillow	pillows
cite	cites
rick	ricks
gust	gusts
defect	defects
scent	scents
play	plays
crack	cracks
leak	leaks
show	shows
testify	testifies
continue	continues
occupy	occupies
stack	stacks
jump	jumps
bellow	bellows
devour	devours
tip	tips
nibble	nibbles
hit	hits
possess	possesses
underestimate	underestimates
dupe	dupes
promise	promises
enrich	enriches
shrink	shrinks
captain	captains
knight	knights
pardon	pardons
permeate	permeates
spice	spices
bump	bumps
appeal	appeals
recite	recites
confide	confides
frank	franks
neglect	neglects
absorb	absorbs
construct	constructs
champion	champions
allow	allows
afford	affords
hum	humes
prosecute	prosecutes
secure	secures
sort	sorts
tangle	tangles
allege	alleges
default	defaults
patrol	patrols
handcuff	handcuffs
search	searches
rail	rails
thwart	thwarts
shuffle	shuffles
function	functions
exclude	excludes
winter	winters
warn	warns
evolve	evolves
personify	personifies
surprise	surprises
plate	plates
present	presents
inject	injects
submit	submits
swim	swims
espouse	espouses
typify	typifies
people	peoples
entertain	entertains
inspire	inspires
rush	rushes
bail	bails
multiply	multiplies
out	outs
package	packages
button	buttons
soap	soaps
cup	cups
squall	squalls
reconvene	reconvenes
trade	trades
cube	cubes
subside	subsides
chorus	choruses
veer	veers
pretend	pretends
chair	chairs
parallel	parallels
clown	clowns
machine	machines
embed	embeds
formulate	formulates
page	pages
beach	beaches
rivet	rivets
flank	flanks
shackle	shackles
interview	interviews
flick	flicks
hand	hands
grass	grasses
kill	kills
evaluate	evaluates
afflict	afflicts
clamp	clamps
shutter	shutters
inhibit	inhibits
donate	donates
experience	experiences
elicit	elicits
demonstrate	demonstrates
case	cases
sand	sands
cap	caps
scatter	scatters
lack	lacks
complicate	complicates
derive	derives
dissipate	dissipates
complete	completes
deny	denies
comprise	comprises
foresee	foresees
bone	bones
barge	barges
squirt	squirts
brush	brushes
curb	curbs
fragment	fragments
spew	spews
fix	fixes
achieve	achieves
enhance	enhances
toot	toots
pirate	pirates
consist	consists
fumble	fumbles
sorrow	sorrows
sigh	sighs
impair	impairs
overwhelm	overwhelms
detail	details
camp	camps
hive	hives
swarm	swarms
reach	reaches
undermine	undermines
enshrine	enshrines
discharge	discharges
tender	tenders
barrack	barracks
brawl	brawls
fold	folds
breach	breaches
rape	rapes
assess	assesses
stamp	stamps
amend	amends
punt	punts
pervade	pervades
toe	toes
tune	tunes
scud	scuds
pressure	pressures
thicken	thickens
catch	catches
protest	protests
menace	menaces
repeat	repeats
syndicate	syndicates
bath	baths
rein	reins
weave	weaves
rung	rungs
precipitate	precipitates
tail	tails
conspire	conspires
mass	masses
provoke	provokes
grace	graces
happen	happens
hook	hooks
stand	stands
erupt	erupts
induce	induces
deteriorate	deteriorates
downgrade	downgrades
minimize	minimizes
deal	deals
scrape	scrapes
interface	interfaces
dominate	dominates
earn	earns
herald	heralds
utilize	utilizes
hawk	hawks
finish	finishes
retrace	retraces
disappoint	disappoints
intern	interns
twist	twists
flood	floods
break	breaks
scrap	scraps
pour	pours
cramp	cramps
verify	verifies
enact	enacts
stomp	stomps
imitate	imitates
pilot	pilots
beggar	beggars
sucker	suckers
kneel	kneels
bond	bonds
preclude	precludes
wing	wings
ladder	ladders
bubble	bubbles
harp	harps
harden	hardens
scope	scopes
infuse	infuses
cane	canes
defend	defends
kidnap	kidnaps
owe	owes
duet	duets
wander	wanders
off	offs
tow	tows
leaf	leafs
tie	ties
bolster	bolsters
override	overrides
perform	performs
profit	profits
expose	exposes
manage	manages
slate	slates
classify	classifies
shoe	shoes
bite	bites
govern	governs
punch	punches
tighten	tightens
pause	pauses
peep	peeps
bargain	bargains
recover	recovers
spirit	spirits
confer	confers
lord	lords
bum	bums
compile	compiles
flush	flushes
sandbag	sandbags
endorse	endorses
ooze	oozes
firm	firms
up	ups
sprint	sprints
abandon	abandons
border	borders
whale	whales
conjure	conjures
reveal	reveals
obtain	obtains
clone	clones
distinguish	distinguishes
crowd	crowds
free	frees
sip	sips
dive	dives
carve	carves
ferry	ferries
link	links
unravel	unravels
bust	busts
brood	broods
harness	harnesses
equal	equals
wish	wishes
dish	dishes
pronounce	pronounces
degenerate	degenerates
wage	wages
reassure	reassures
clarify	clarifies
nominate	nominates
gum	gums
breeze	breezes
wait	waits
sink	sinks
fly	flies
breed	breeds
identify	identifies
review	reviews
chicken	chickens
inch	inches
grudge	grudges
rave	raves
convene	convenes
spear	spears
term	terms
conform	conforms
rat	rates
crystallize	crystallizes
melt	melts
con	cons
parrot	parrots
comb	combs
bring	brings
stew	stews
sortie	sorties
meet	meets
reiterate	reiterates
obstruct	obstructs
take	takes
hike	hikes
meter	meters
die	dies
foreshadow	foreshadows
moan	moans
sham	shams
applaud	applauds
scare	scares
gall	galls
infuriate	infuriates
prevail	prevails
balk	balks
buffet	buffets
blaze	blazes
carry	carries
drip	drips
pad	pads
erode	erodes
estimate	estimates
wash	washes
trek	treks
corrupt	corrupts
inflict	inflicts
lump	lumps
seal	seals
black	blacks
stifle	stifles
swirl	swirls
group	groups
involve	involves
bootleg	bootlegs
imagine	imagines
picnic	picnics
tout	touts
counterfeit	counterfeits
finger	fingers
tuck	tucks
audition	auditions
kid	kids
bloom	blooms
jolt	jolts
establish	establishes
interact	interacts
gross	grosses
listen	listens
guess	guesses
parody	parodies
terminate	terminates
teach	teaches
file	files
overlook	overlooks
provide	provides
range	ranges
mail	mails
collapse	collapses
revel	revels
flirt	flirts
add	adds
change	changes
deprive	deprives
dwell	dwells
increase	increases
devote	devotees
witness	witnesses
emit	emits
analyze	analyzes
flip	flips
expire	expires
discount	discounts
fine	fines
coo	coos
scar	scars
shed	sheds
grab	grabs
ramp	ramps
weep	weeps
evidence	evidences
approve	approves
suspect	suspects
handle	handles
marry	marries
hear	hears
lime	limes
expand	expands
join	joins
mob	mobs
rag	rages
document	documents
shut	shuts
juice	juices
overstate	overstates
wonder	wonders
jaw	jaws
compliment	compliments
gate	gates
trigger	triggers
met	mets
hug	hugs
move	moves
dispatch	dispatches
feud	feuds
race	races
