fold	unfold
utility	inutility
historical	ahistorical
intelligent	unintelligent
draftee	volunteer
assertive	unassertive
fuel	unfueled
permeable	impermeable
impair	unimpaired
pleasantly	unpleasantly
love	hate
pigmentation	depigmentation
straight	curve
solid	gaseous
stand	run
stabilization	destabilization
shout	whisper
interest	uninteresting
man	unman
major	minor
descriptive	undescriptive
reliable	unreliable
good	worsen
succeed	fail
wisely	foolishly
string	unstring
support	unsupported
conclusive	inconclusive
body	unbodied
first	last
dedicate	undedicated
amply	meagerly
essential	inessential
agreeable	disagreeable
pot	unpotted
military	unmilitary
accompany	unaccompanied
invigorate	debilitate
continuous	discontinuous
assimilate	dissimilate
wisdom	folly
eager	uneager
tall	short
cheerfully	cheerlessly
accept	refuse
acquit	convict
insure	uninsured
yang	yin
distrust	trust
mechanical	nonmechanical
windward	leeward
nose	noseless
active	inactive
introspective	extrospective
bequeath	disinherit
accommodate	unaccommodating
sacred	profane
lucky	unlucky
horizontal	incline
prefix	suffix
claim	disclaim
flex	unbend
retentive	unretentive
evergreen	deciduous
probability	improbability
start	stop
obligate	unobligated
associate	decouple
friendly	unfriendly
sanity	insanity
fix	unfixed
curable	incurable
solid	liquid
optimism	pessimism
stain	unstained
acquaintance	strange
let	prevent
type	antitype
peaceful	unpeaceful
censor	uncensored
coldness	hotness
additive	subtractive
symmetrical	asymmetrical
inhibit	uninhibited
convince	unconvinced
priestly	unpriestly
erect	unerect
belief	unbelief
long	short
sensitive	insensitive
industrial	nonindustrial
crystallize	uncrystallized
western	eastern
reasonably	unreasonably
physical	mental
cellular	noncellular
button	unbutton
up	down
plausibility	implausibility
armor	unarmored
thoughtfully	thoughtlessly
intervention	nonintervention
arm	disarm
crown	uncrowned
leader	follower
equal	differ
trouble	untroubled
aptitude	inaptitude
assent	dissent
leafy	leafless
ally	foe
reversal	affirmation
partiality	impartiality
script	unscripted
seasonable	unseasonable
modulate	unmodulated
tasteful	tasteless
fastidious	unfastidious
shoe	unshod
fast	slow
sufficiently	insufficiently
attractiveness	unattractiveness
attractive	repulsive
concentrate	distribute
fit	unfit
cover	uncover
arbitrary	nonarbitrary
pro	con
questionable	unquestionable
parallel	perpendicular
shorten	lengthen
raise	lower
move	unmoving
disintegrate	integrate
disagree	agree
divide	unite
honorably	dishonorably
pay	unpaid
energetic	lethargic
superior	inferior
symmetry	disproportion
agreement	disagreement
deny	admit
artesian	subartesian
establish	abolish
vowel	consonant
heaviness	lightness
wheel	wheelless
indulgent	nonindulgent
open	close
round	square
interestingly	uninterestingly
publicly	privately
hostile	amicable
sanitary	unsanitary
rotor	stator
visibility	invisibility
full	thin
lose	win
talented	untalented
increase	decrease
perceptive	unperceptive
fail	pass
audible	inaudible
do	unmake
bright	dull
septic	antiseptic
rich	poor
conductive	nonconductive
female	male
pleasant	unpleasant
engagement	non-engagement
thickness	thinness
loyal	disloyal
appearance	disappearance
kind	unkind
prenatal	postnatal
compassionate	uncompassionate
grateful	ungrateful
animate	inanimate
alike	unalike
ostentatious	unostentatious
respectable	unrespectable
like	unlike
respectability	unrespectability
defeat	undefeated
include	exclude
on	off
claim	forfeit
freeze	unfreeze
flexibly	inflexibly
affix	unaffixed
rich	lean
close	open
extinct	active
incoming	outgo
develop	undeveloped
unify	disunify
fore	aft
inward	outward
notice	ignore
necessary	unnecessary
possible	impossible
creativity	uncreativeness
payment	evasion
run	idle
frequent	infrequent
lament	unlamented
brand	unbranded
shrink	expand
apologetic	unapologetic
black	white
reject	accept
presidential	unpresidential
light	dark
civil	uncivil
informally	formally
crystalline	noncrystalline
paternal	maternal
mobile	stabile
darken	brighten
immanent	transeunt
faithfully	unfaithfully
wariness	unwariness
available	unavailable
flat	contrasty
upstage	downstage
peace	war
positive	negative
separate	joint
fictional	nonfictional
oral	aboral
breathe	breathless
visible	invisible
certain	uncertain
random	nonrandom
sleep	wake
beneficent	maleficent
professional	unprofessional
popularity	unpopularity
forehand	backhand
unfairness	fairness
sweet	sour
distinct	indistinct
trim	untrimmed
comfortable	uncomfortable
importance	unimportance
conspicuously	inconspicuously
joyful	sorrowful
thinly	thickly
literal	figurative
captor	liberator
reversible	irreversible
upriver	downriver
rural	urban
protective	unprotective
bind	unbind
own	unowned
due	undue
directness	indirectness
attract	repel
politeness	impoliteness
manageable	unmanageable
analyze	unanalyzed
precocious	retard
removable	irremovable
creditor	debtor
record	erase
predictability	unpredictability
boycott	patronize
social	unsocial
encourage	discourage
forward	reverse
synchronize	desynchronize
uncompromising	compromise
fairly	unfairly
sound	unsound
holistic	atomistic
foreign	domestic
ancestor	descendant
positivity	negativity
activity	inactivity
predate	postdate
multiply	divide
exterior	interior
confident	diffident
similarity	dissimilarity
pave	unpaved
finish	begin
cleanliness	uncleanliness
boldness	timidity
good	bad
frame	unframed
active	dormant
tactful	tactless
conformity	nonconformity
distinguishable	indistinguishable
concentric	eccentric
tongue	tongueless
theatrical	untheatrical
aquatic	amphibious
same	other
competitive	noncompetitive
right	center
twist	untwist
courage	cowardice
inspire	uninspiring
regularity	irregularity
sour	unsoured
monochromatic	polychromatic
resident	nonresident
impatiently	patiently
leaky	tight
occupy	unoccupied
reduce	gain
patient	impatient
run	stand
impressive	unimpressive
understand	ununderstood
avoid	confront
complete	incomplete
design	undesigned
linger	rush
sensibility	insensibility
operative	inoperative
incarnate	disincarnate
quiet	unquiet
reserve	unreserved
antecedent	subsequent
permanent	impermanent
addictive	nonaddictive
fair	foul
harmonious	inharmonious
concise	prolix
extant	extinct
beautiful	ugly
righteousness	unrighteousness
pregnant	nonpregnant
fair	unfair
normality	abnormality
inflow	outflow
military	civilian
eligible	ineligible
responsibly	irresponsibly
carnivorous	herbivorous
retail	wholesale
make	unmake
loosen	tighten
capability	incapability
far	near
skin	skinless
friendliness	unfriendliness
symmetry	asymmetry
growth	nondevelopment
enlightenment	unenlightenment
rise	fall
happily	sadly
stick	unstuck
spontaneous	induce
size	unsized
attentive	inattentive
suitability	unsuitability
flexible	inflexible
patriarchal	matriarchal
forgettable	unforgettable
purposeful	purposeless
smoothness	roughness
musical	unmusical
repute	disrepute
border	unbordered
geometrically	linearly
uptown	downtown
constant	inconstant
be	nonbeing
spirituality	worldliness
stylish	styleless
sweeten	sour
enforce	unenforced
iron	unironed
fallible	infallible
precise	imprecise
enliven	unenlivened
appropriately	inappropriately
like	dislike
receptive	unreceptive
naturally	unnaturally
persistent	caducous
back	veer
respectfully	disrespectfully
musically	unmusically
principled	unprincipled
clement	inclement
moderate	immoderate
critically	uncritically
absorbent	nonabsorbent
deflation	inflation
finality	inconclusiveness
descriptive	prescriptive
widen	narrow
demand	undemanding
democratically	undemocratically
permanently	temporarily
prudently	imprudently
refine	unrefined
right	wrong
productively	unproductively
significant	nonsignificant
barrel	unbarreled
colonize	decolonize
below	above
reverence	irreverence
align	nonaligned
offensive	inoffensive
match	disagree
stimulate	de-energize
seal	unseal
rush	delay
spherical	nonspherical
age	rejuvenate
soluble	insoluble
difficult	easy
more	few
analyze	synthesize
compatible	incompatible
glad	sad
capacity	incapacity
violently	nonviolently
acceleration	deceleration
efficient	inefficient
turn	unturned
masculine	neuter
divest	invest
back	front
grammatical	ungrammatical
upland	lowland
pretentious	unpretentious
acceptable	unacceptable
affinity	consanguinity
central	peripheral
expertly	amateurishly
acute	chronic
cheerful	depress
plus	minus
restrain	unrestrained
logical	illogical
sociable	unsociable
exaggeration	understatement
sonic	supersonic
head	rear
egress	ingress
inflate	deflate
clasp	unclasp
begin	end
healthy	unhealthy
technical	nontechnical
loud	soft
certainty	uncertainty
satisfaction	dissatisfaction
obstruct	unobstructed
middle	end
always	never
humane	inhumane
generous	stingy
natural	sharp
harmonic	nonharmonic
