hominid	hominidae
ivy	hedera
jaeger	stercorariidae
plankton	aggregate
rodent	rodentia
tiger	panthera
alder	alnus
horse	equus
alpaca	lama
miro	prumnopitys
grape	vitis
liberian	liberia
canary	serinus
radish	raphanus
jack	carangidae
ani	crotophaga
bahraini	bahrain
qatari	qatar
snake	serpentes
sparrow	passeridae
flax	linum
cockatoo	kakatoe
associate	association
snapper	chrysophrys
heath	ericaceae
colonial	colony
pink	dianthus
turk	turkey
row	table
monitor	varanus
german	germany
militiaman	militia
trumpeter	cygnus
rhea	pterocnemia
hemlock	conium
poplar	populus
grunt	haemulidae
pumpkin	cucurbita
lichen	lichenes
warthog	phacochoerus
helix	helicidae
hazelnut	corylus
carp	cyprinidae
solomon	polygonatum
canine	canidae
senegalese	senegal
tutsi	rwanda
asp	vipera
bonefish	albula
juniper	juniperus
mamba	dendroaspis
goldfish	carassius
basque	france
cancer	cancridae
hind	epinephelus
bahamian	bahamas
cinnamon	cinnamomum
nigerian	nigeria
chinese	taiwan
harrier	circus
indonesian	indonesia
turkey	meleagris
pollack	pollachius
duck	anatidae
technocrat	elite
wolf	canis
lark	alaudidae
pike	esox
lotus	papilionoideae
ship	fleet
queen	royalty
college	university
paraguayan	paraguay
meles	mustelidae
gar	lepisosteus
herring	clupea
bat	chiroptera
zealander	zealand
daisy	bellis
polynesian	polynesia
florida	confederacy
star	constellation
loach	cobitidae
racketeer	underworld
smut	ustilaginales
earthworm	oligochaeta
georgia	confederacy
gazelle	gazella
falco	falconidae
crewman	crew
argentinian	argentina
clover	trifolium
kangaroo	macropodidae
chrysanthemum	compositae
malawian	malawi
argentina	argentinidae
timothy	phleum
academician	academy
ewe	ghana
tern	sterninae
teak	tectona
irishman	ireland
teal	ana
mammoth	mammuthus
colombian	colombia
chadian	chad
primate	eutheria
piglet	sus
swift	apodidae
owl	strigiformes
tooth	dentition
gaur	bibos
wahoo	acanthocybium
vanessa	nymphalidae
hyena	hyaenidae
breton	bretagne
moro	mindanao
