share	common
glorious	incandescent
insufficient	shy
feather	pennate
thick	ropy
curve	recurve
domestic	home-loving
forward	guardant
competitive	agonistic
combine	compound
sound	healthy
healthful	drugless
toothed	toothlike
tangle	afoul
expensive	dearly-won
abnormal	kinky
perceptible	recognizable
unimportant	potty
grassy	grass-covered
hollow	cavernous
confuse	punch-drunk
breathless	blow
similar	akin
agitate	frantic
human	anthropomorphic
delicate	fragile
dead	assassinate
worthy	value
support	brace
significant	portentous
enable	facultative
tactful	discern
wooded	sylvan
international	global
leafy	curly-leaved
unsupported	strapless
unpunished	uncorrected
color	straw-colored
paint	whitewash
dull	lackluster
past	late
unassisted	unaided
toothless	edentulous
monogamous	monandrous
emotional	affectional
prejudice	racist
conservative	buttoned-up
tearful	misty-eyed
enclose	besiege
close	year-end
flexible	bendable
sour	acerb
stupid	gaumless
other	different
large	elephantine
inward	secret
standard	standardize
form	drum-shaped
ill	diabetic
foot	pedate
move	fast-flying
old	centenarian
concave	cuplike
toothed	buck-toothed
affix	glue
past	olden
ordinary	everyday
no	nary
careful	studious
first	basic
fair	fair-minded
rig	outrigged
uncommitted	undecided
epidemic	pestilent
identifiable	specifiable
elegant	fine
asleep	slumberous
ineligible	disqualify
valuable	rich
solid	dry
eye	almond-eyed
specialize	specialistic
hairy	thick-haired
tip	spine-tipped
unpleasant	sharp
hairy	rough-haired
dead	deathlike
pattern	band
certain	definite
mediate	indirect
past	bygone
pattern	black-marked
simple	elliptic
unhealthy	carious
unturned	right-side-up
theoretical	notional
skilled	delicate
clothe	cassocked
opaque	cloudy
comprehensive	omnibus
frail	decrepit
similar	sympathetic
uninteresting	ponderous
space	double-space
domestic	domesticate
toothed	cog
potent	equipotent
informative	newsy
irresponsible	carefree
button	button-down
unbreakable	shatterproof
soft	little
joyride	tool
humorous	farcical
succeed	follow
unhealthy	diseased
political	governmental
imperfect	blemish
secondary	collateral
reciprocal	bilateral
hot	bake
abstract	conceptual
employ	work
restrict	close
reversible	correctable
fastidious	choosy
close	nestle
fine	nongranular
awkward	graceless
dishonest	picaresque
concentrate	cumulous
indivisible	inseparable
internal	interior
significant	monumental
compound	tripinnate
dry	thirsty
unadorned	untufted
affect	elocutionary
meaningless	empty
private	closed-door
convenient	handy
woody	suffrutescent
beak	straight-billed
old	anile
insensitive	callous
fancy	busy
bold	nervy
destructive	annihilative
fresh	strong
crown	chapleted
wear	moth-eaten
standard	modular
unfinished	pending
equal	close
healthful	good
north	northernmost
sharp	sharpen
wet	rheumy
uncommitted	float
rich	comfortable
malicious	bitchy
abnormal	supernormal
desirable	delectable
plan	deep-laid
original	avant-garde
insensitive	insensible
all	each
consummate	complete
consistent	self-consistent
personal	person-to-person
first	premier
subordinate	rule
healthy	bounce
tight	choky
prophetic	predictive
curve	curvilineal
smooth	creaseless
clothe	tuxedoed
dead	execute
liquid	liquefy
increase	accelerative
balance	stable
fancy	dressy
crown	royal
proud	boastful
cellular	cell-like
move	automotive
narrow	straplike
color	fawn-colored
stupid	anserine
improve	build
form	awl-shaped
unhelpful	unconstructive
dull	blunt
blond	fair
prepare	ready
will	volitional
inward	inner
dry	bone-dry
equitable	evenhanded
bad	rubber
harmful	counterproductive
rough	pock
high	advance
cardinal	ninety-four
noisy	rackety
asexual	fissiparous
automatic	self-winding
defiant	recalcitrant
gaseous	gasify
inferior	mediocre
leafy	grassy-leaved
new	hot
unlucky	hex
forceful	impellent
charge	positive
involve	embroil
cubic	cubelike
sign	subscribe
thrifty	economical
domestic	home-style
supernatural	talismanic
creative	fanciful
awe	overawe
tire	unrefreshed
irrational	nonrational
